"","Year","Operational.Demand..MW.","Index"
"483",2018,2797.768,483
"484",2018,2797.756,484
"485",2018,2797.656,485
"486",2018,2797.642,486
"487",2018,2797.536,487
"488",2018,2796.198,488
"489",2018,2796.144,489
"490",2018,2795.906,490
"491",2018,2795.12,491
"492",2018,2795.028,492
"493",2018,2794.76,493
"494",2018,2794.478,494
"495",2018,2794.36,495
"496",2018,2794.282,496
"497",2018,2793.324,497
"498",2018,2793.144,498
"499",2018,2792.966,499
"500",2018,2791.958,500
"501",2018,2791.47,501
"502",2018,2791.002,502
"503",2018,2790.618,503
"504",2018,2790.436,504
"505",2018,2789.97,505
"506",2018,2789.722,506
"507",2018,2789.468,507
"508",2018,2789.432,508
"509",2018,2789.402,509
"510",2018,2788.102,510
"511",2018,2787.874,511
"512",2018,2787.098,512
"513",2018,2786.992,513
"514",2018,2786.76,514
"515",2018,2786.386,515
"516",2018,2786.374,516
"517",2018,2786.1,517
"518",2018,2785.592,518
"519",2018,2785.28,519
"520",2018,2785.18,520
"521",2018,2785.122,521
"522",2018,2784.804,522
"523",2018,2784.606,523
"524",2018,2784.524,524
"525",2018,2784.35,525
"526",2018,2783.472,526
"527",2018,2783.082,527
"528",2018,2781.136,528
"529",2018,2781.132,529
"530",2018,2781.028,530
"531",2018,2780.798,531
"532",2018,2779.914,532
"533",2018,2778.202,533
"534",2018,2777.914,534
"535",2018,2777.252,535
"536",2018,2777.012,536
"537",2018,2776.618,537
"538",2018,2775.812,538
"539",2018,2775.67,539
"540",2018,2774.02,540
"541",2018,2773.402,541
"542",2018,2772.82,542
"543",2018,2772.648,543
"544",2018,2772.426,544
"545",2018,2772.148,545
"546",2018,2771.884,546
"547",2018,2771.638,547
"548",2018,2770.85,548
"549",2018,2770.266,549
"550",2018,2769.178,550
"551",2018,2768.45,551
"552",2018,2768.308,552
"553",2018,2767.542,553
"554",2018,2766.574,554
"555",2018,2766.372,555
"556",2018,2766.08,556
"557",2018,2765.886,557
"558",2018,2765.432,558
"559",2018,2765.31,559
"560",2018,2764.988,560
"561",2018,2764.914,561
"562",2018,2764.85,562
"563",2018,2764.722,563
"564",2018,2764.632,564
"565",2018,2764.522,565
"566",2018,2764.354,566
"567",2018,2764.306,567
"568",2018,2763.774,568
"569",2018,2763.328,569
"570",2018,2762.08,570
"571",2018,2761.606,571
"572",2018,2761.484,572
"573",2018,2761.386,573
"574",2018,2761.064,574
"575",2018,2760.922,575
"576",2018,2760.854,576
"577",2018,2759.75,577
"578",2018,2759.73,578
"579",2018,2759.374,579
"580",2018,2759.18,580
"581",2018,2758.894,581
"582",2018,2758.828,582
"583",2018,2758.088,583
"584",2018,2757.878,584
"585",2018,2757.366,585
"586",2018,2756.918,586
"587",2018,2756.854,587
"588",2018,2756.71,588
"589",2018,2756.53,589
"590",2018,2756.468,590
"591",2018,2756.424,591
"592",2018,2756.332,592
"593",2018,2756.076,593
"594",2018,2755.646,594
"595",2018,2754.886,595
"596",2018,2753.986,596
"597",2018,2753.934,597
"598",2018,2753.686,598
"599",2018,2752.878,599
"600",2018,2752.382,600
"601",2018,2751.9,601
"602",2018,2751.818,602
"603",2018,2751.382,603
"604",2018,2750.796,604
"605",2018,2750.61,605
"606",2018,2749.84,606
"607",2018,2749.718,607
"608",2018,2748.89,608
"609",2018,2748.646,609
"610",2018,2748.492,610
"611",2018,2748.204,611
"612",2018,2748.176,612
"613",2018,2748.054,613
"614",2018,2747.806,614
"615",2018,2747.736,615
"616",2018,2747.586,616
"617",2018,2747.584,617
"618",2018,2747.422,618
"619",2018,2746.984,619
"620",2018,2746.426,620
"621",2018,2746.144,621
"622",2018,2745.964,622
"623",2018,2745.888,623
"624",2018,2745.574,624
"625",2018,2745.508,625
"626",2018,2745.334,626
"627",2018,2744.914,627
"628",2018,2744.562,628
"629",2018,2744.016,629
"630",2018,2743.874,630
"631",2018,2743.604,631
"632",2018,2742.714,632
"633",2018,2742.67,633
"634",2018,2742.476,634
"635",2018,2742.36,635
"636",2018,2741.574,636
"637",2018,2741.208,637
"638",2018,2740.926,638
"639",2018,2740.708,639
"640",2018,2740.578,640
"641",2018,2740.276,641
"642",2018,2739.872,642
"643",2018,2739.724,643
"644",2018,2739.522,644
"645",2018,2739.364,645
"646",2018,2739.3,646
"647",2018,2739.102,647
"648",2018,2739.096,648
"649",2018,2738.618,649
"650",2018,2738.334,650
"651",2018,2737.932,651
"652",2018,2737.872,652
"653",2018,2737.738,653
"654",2018,2737.316,654
"655",2018,2737.05,655
"656",2018,2736.648,656
"657",2018,2736.606,657
"658",2018,2736.356,658
"659",2018,2735.132,659
"660",2018,2735.132,660
"661",2018,2734.97,661
"662",2018,2734.962,662
"663",2018,2734.952,663
"664",2018,2734.77,664
"665",2018,2734.652,665
"666",2018,2734.14,666
"667",2018,2733.802,667
"668",2018,2733.614,668
"669",2018,2733.426,669
"670",2018,2733.392,670
"671",2018,2733.264,671
"672",2018,2733.222,672
"673",2018,2732.266,673
"674",2018,2732.092,674
"675",2018,2731.016,675
"676",2018,2730.99,676
"677",2018,2730.952,677
"678",2018,2730.08,678
"679",2018,2729.236,679
"680",2018,2728.302,680
"681",2018,2728.208,681
"682",2018,2728.13,682
"683",2018,2727.686,683
"684",2018,2727.46,684
"685",2018,2727.374,685
"686",2018,2727.02,686
"687",2018,2726.256,687
"688",2018,2726.124,688
"689",2018,2725.704,689
"690",2018,2725.658,690
"691",2018,2725.444,691
"692",2018,2725.1,692
"693",2018,2724.92,693
"694",2018,2724.65,694
"695",2018,2724.454,695
"696",2018,2724.306,696
"697",2018,2723.906,697
"698",2018,2723.906,698
"699",2018,2723.59,699
"700",2018,2723.35,700
"701",2018,2723,701
"702",2018,2722.674,702
"703",2018,2722.592,703
"704",2018,2721.54,704
"705",2018,2721.51,705
"706",2018,2721.286,706
"707",2018,2720.87,707
"708",2018,2720.802,708
"709",2018,2720.666,709
"710",2018,2720.456,710
"711",2018,2719.444,711
"712",2018,2719.186,712
"713",2018,2719.05,713
"714",2018,2718.878,714
"715",2018,2718.392,715
"716",2018,2718.15,716
"717",2018,2718.138,717
"718",2018,2717.832,718
"719",2018,2717.55,719
"720",2018,2717.338,720
"721",2018,2717.312,721
"722",2018,2717.068,722
"723",2018,2717.004,723
"724",2018,2716.26,724
"725",2018,2716.018,725
"726",2018,2715.364,726
"727",2018,2715.278,727
"728",2018,2714.948,728
"729",2018,2714.544,729
"730",2018,2714.024,730
"731",2018,2713.768,731
"732",2018,2713.584,732
"733",2018,2713.392,733
"734",2018,2713.032,734
"735",2018,2712.452,735
"736",2018,2712.27,736
"737",2018,2711.644,737
"738",2018,2711.556,738
"739",2018,2711.448,739
"740",2018,2711.09,740
"741",2018,2711.064,741
"742",2018,2710.784,742
"743",2018,2710.73,743
"744",2018,2710.05,744
"745",2018,2709.32,745
"746",2018,2709.084,746
"747",2018,2709.046,747
"748",2018,2708.982,748
"749",2018,2708.872,749
"750",2018,2708.642,750
"751",2018,2708.636,751
"752",2018,2708.16,752
"753",2018,2707.994,753
"754",2018,2707.874,754
"755",2018,2707.784,755
"756",2018,2707.038,756
