DateTime,energyInjectionCapacity,energyWithdrawalCapacity,contingencyRaise,contingencyLower,regulationRaise,regulationLower,rocof
2023-09-29T08:00:00Z,1079.926,0,168.525,92,110.002,110,16867.979
2023-09-29T08:00:00Z,1196.192,0,167.085,89.313,110.002,110,16865.779
2023-09-29T08:00:00Z,1281.563,0,168.057,84.338,110.002,110,16872.191
2023-09-29T08:00:00Z,1405.636,0,179.145,81.014,110.002,110,16888.697
2023-09-29T08:00:00Z,1575.183,0,212.576,78.105,110.002,110,16872.956
2023-09-29T08:00:00Z,1770.604,0,248.837,72.294,110,110,17376.038
2023-09-29T08:00:00Z,1973.75,0,230.626,66.215,110.002,110,19376.039
2023-09-29T08:00:00Z,2150.713,0,216.405,61.048,110.002,110,20384.31
2023-09-29T08:00:00Z,2285.645,0,267.559,57.345,110,110,20864.4
2023-09-29T08:00:00Z,2369.46,0,268.507,56.424,109.999,110,20596.864
2023-09-29T08:00:00Z,2375.107,0,267.958,54.228,110,110,20859.254
2023-09-29T08:00:00Z,2324.94,0,267.353,54.976,110.001,110,20863.738
2023-09-29T08:00:00Z,2273.235,0,268.4,54.778,109.999,110,20867.365
2023-09-29T08:00:00Z,2213.135,0,268.28,54.872,110,110,20863.708
2023-09-29T08:00:00Z,2140.808,0,216.71,56.393,64.999,65,20354.261
2023-09-29T08:00:00Z,2058.438,0,217.448,60.263,64.999,65,20101.37
2023-09-29T08:00:00Z,1972.574,0,185.418,64.256,65.001,65,19369.598
2023-09-29T08:00:00Z,1895.335,0,185.437,66.948,64.999,65.001,19372.087
2023-09-29T08:00:00Z,1833.212,0,186.726,69.113,64.999,65.001,18872.084
2023-09-29T08:00:00Z,1784.844,0,167.951,70.798,64.999,65.001,17870.861
2023-09-29T08:00:00Z,1752.874,0,156.041,71.912,65,65,17870.861
2023-09-29T08:00:00Z,1731.525,0,152.274,71.656,64.999,65,18119.112
2023-09-29T08:00:00Z,1704.826,0,153.12,72.587,65.002,65,18116.061
2023-09-29T08:00:00Z,1686.539,0,153.174,74.224,65.001,65,18111.418
2023-09-29T08:00:00Z,1678.158,0,153.186,73.516,64.999,65,18124.221
2023-09-29T08:00:00Z,1674.212,0,153.199,72.654,65.001,65,18099.919
2023-09-29T08:00:00Z,1675.907,0,151.406,70.595,65,65,18108.838
2023-09-29T08:00:00Z,1684.387,0,152.696,71.299,65,65,17894.96
2023-09-29T08:00:00Z,1705.03,0,153.275,73.58,65,65,18133.582
2023-09-29T08:00:00Z,1747.599,0,153.301,74.096,64.999,65,18137.198
2023-09-29T08:00:00Z,1815.925,0,142.761,72.716,65.001,65,19420.58
2023-09-29T08:00:00Z,1889.149,0,185.951,70.163,65.001,65,19383.729
2023-09-29T08:00:00Z,1951.718,0,207.319,68.983,110,110,19152.06
2023-09-29T08:00:00Z,2003.526,0,261.356,69.177,110,110,20390.474
2023-09-29T08:00:00Z,2033.293,0,264.194,66.14,110,110,20408.936
2023-09-29T08:00:00Z,2033.387,0,206.331,65.136,110,110,20417.604
2023-09-29T08:00:00Z,1986.38,0,185.933,64.775,110,110,19407.228
2023-09-29T08:00:00Z,1924.236,0,142.695,64.94,110,110,19425.783
2023-09-29T08:00:00Z,1860.906,0,142.645,66.147,110.001,110,19439.896
2023-09-29T08:00:00Z,1779.587,0,155.493,69.981,110,110,18210.015
2023-09-29T08:00:00Z,1675.033,0,155.439,74.625,109.999,110,18174.793
2023-09-29T08:00:00Z,1582.026,0,168.933,77.866,109.999,110,16903.209
2023-09-29T08:00:00Z,1552.906,0,168.12,78.881,109.999,110,16888.697
2023-09-29T08:00:00Z,1530.102,0,168.15,79.676,110,110,16649.715
2023-09-29T08:00:00Z,1551.52,0,168.037,78.93,110,110,16903.672
2023-09-29T08:00:00Z,1508.922,0,169.609,79.414,109.999,110,16163.257
2023-09-29T08:00:00Z,1399.565,0,167.456,83.225,109.999,110,16935.267
2023-09-29T08:00:00Z,1338.236,0,168.069,86.362,110,110,16676.221
2023-09-29T08:00:00Z,1354.892,0,168.067,84.782,110,110,16949.163
2023-09-29T08:00:00Z,1424.491,0,167.409,81.356,110.001,110,16949.534
2023-09-29T08:00:00Z,1578.425,0,168.844,73.992,110.001,110,16947.262
2023-09-29T08:00:00Z,1730.628,0,165.703,69.688,110.001,110,18196.303
2023-09-29T08:00:00Z,1924.85,0,185.941,65.919,110,110,19200.98
2023-09-29T08:00:00Z,2118.859,0,216.734,60.158,109.999,110,20435.204
